number_of_seats,length_mm,width_mm,height_mm,curb_weight_kg,maximum_torque_n_m,number_of_cylinders,valves_per_cylinder,turnover_of_maximum_torque_rpm,capacity_cm3,engine_hp,engine_hp_rpm,number_of_gears,injection_type_Injector,injection_type_Monoinjection,injection_type_Multi-point fuel injection,injection_type_carburetor,injection_type_direct injection,cylinder_layout_Opposed,cylinder_layout_Rotary-piston,cylinder_layout_V-type,cylinder_layout_W-type,cylinder_layout_inline,engine_type_Gas,engine_type_Gasoline,engine_type_Hybrid,boost_type_none,drive_wheels_Four wheel drive (4WD),drive_wheels_Front wheel drive,drive_wheels_Rear wheel drive,mixed_fuel_consumption_per_100_km_l
5,4200,1615,1350,1005,116,4,2,4500,1351,90,6000,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,8.3
5,4200,1615,1350,985,128,4,2,4500,1490,97,6000,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,7.8
5,4200,1615,1350,1035,149,4,2,4500,1712,107,5800,5,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,7.6
4,4413,1830,1372,1470,185,4,4,4500,2198,185,6500,6,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,9.8
4,4413,1830,1372,1470,185,4,4,4500,2198,185,6500,6,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,9.4
4,4413,1830,1372,1720,322,6,4,4500,3195,260,6200,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,12.0
4,4413,1830,1372,1620,322,6,4,4500,3195,260,6200,6,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,11.5
4,4480,1760,1390,1320,206,4,4,3250,1970,165,6400,5,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,8.7
4,4480,1760,1390,1410,289,6,4,4800,3179,240,6200,6,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,12.0
4,4285,1780,1318,1370,271,6,2,2400,1996,202,6000,5,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,9.5
4,4299,1776,1318,1370,289,6,4,4800,3179,240,6200,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,13.2
5,4063,1720,1446,1155,129,4,4,3000,1368,95,6000,6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,5.9
5,4063,1721,1446,1090,130,4,4,4000,1368,105,6000,6,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,5.7
5,4063,1721,1446,1090,250,4,4,2500,1368,170,5500,6,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,6.0
2,4285,1780,1315,1490,265,6,4,3800,2959,220,6300,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,11.7
2,4285,1780,1315,1470,289,6,4,4800,3179,240,6200,6,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,13.2
2,4393,1830,1318,1530,230,4,4,4500,2198,185,6500,6,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,9.5
